threat_actors,country
APT1,China
APT12,China
APT16,China
APT17,China
APT19,China
APT28,Russia
APT29,Russia
APT3,China
APT30,China
APT32,Vietnam
APT33,Iran
APT37,North Korea
APT38,North Korea
APT39,Iran
Axiom,China
BRONZE BUTLER,China
Charming Kitten,Iran
Cleaver,Iran
CopyKittens,Iran
Dark Caracal,Lebanon
Deep Panda,China
Dragonfly 2.0,Russia
Elderwood,China
FIN5,Russia
Gorgon Group,Pakistan
Group5,Iran
Ke3chang,China
Lazarus Group,North Korea
Leafminer,Iran
Magic Hound,Iran
menuPass,China
Moafee,China
MuddyWater,Iran
OilRig,Iran
PittyTiger,China
Putter Panda,China
Sandworm Team,Russia
SilverTerrier,Nigeria
Stealth Falcon,United Arab Emirates
Stolen Pencil,North Korea
Suckfly,China
TA459,China
TEMP.Veles,Russia
Threat Group-3390,China
Turla,Russia
Winnti Group,China
