attack_ID,threat_actors
T1066,TEMP.Veles
T1066,APT3
T1066,Deep Panda
T1066,Patchwork
T1066,Turla
T1066,OilRig
T1047,Stealth Falcon
T1047,MuddyWater
T1047,Lazarus Group
T1047,APT29
T1047,Leviathan
T1047,Threat Group-3390
T1047,FIN8
T1047,Deep Panda
T1047,APT32
T1047,menuPass
T1047,OilRig
T1113,MuddyWater
T1113,BRONZE BUTLER
T1113,FIN7
T1113,Dark Caracal
T1113,Dragonfly 2.0
T1113,Magic Hound
T1113,APT28
T1113,OilRig
T1113,Group5
T1067,APT28
T1067,Lazarus Group
T1037,Cobalt Group
T1037,APT28
T1033,Stealth Falcon
T1033,MuddyWater
T1033,Lazarus Group
T1033,APT3
T1033,APT32
T1033,Dragonfly 2.0
T1033,APT39
T1033,APT37
T1033,Magic Hound
T1033,Patchwork
T1033,OilRig
T1033,FIN10
T1033,APT19
T1033,Gamaredon Group
T1003,TEMP.Veles
T1003,Stealth Falcon
T1003,Sowbug
T1003,Stolen Pencil
T1003,Leviathan
T1003,Dragonfly 2.0
T1003,APT39
T1003,APT37
T1003,OilRig
T1003,FIN5
T1003,Ke3chang
T1003,Molerats
T1003,MuddyWater
T1003,BRONZE BUTLER
T1003,Threat Group-3390
T1003,Strider
T1003,Night Dragon
T1003,menuPass
T1003,Magic Hound
T1003,Axiom
T1003,Poseidon Group
T1003,Cleaver
T1003,Suckfly
T1003,Lazarus Group
T1003,FIN6
T1003,APT3
T1003,PLATINUM
T1003,APT32
T1003,Leafminer
T1003,Patchwork
T1003,APT28
T1003,FIN8
T1003,APT1
T1003,APT33
T1492,APT38
T1492,FIN4
T1014,Winnti Group
T1014,APT28
T1123,APT37
T1133,TEMP.Veles
T1133,APT18
T1133,Threat Group-3390
T1133,Night Dragon
T1133,Dragonfly 2.0
T1133,OilRig
T1133,Ke3chang
T1133,FIN5
T1109,Equation
T1099,TEMP.Veles
T1099,APT28
T1099,Lazarus Group
T1099,APT32
T1069,FIN6
T1069,admin@338
T1069,APT3
T1069,Dragonfly 2.0
T1069,OilRig
T1069,Ke3chang
T1114,Dragonfly 2.0
T1114,Magic Hound
T1114,APT1
T1114,Leafminer
T1114,APT28
T1114,FIN4
T1114,Ke3chang
T1025,APT28
T1025,Gamaredon Group
T1116,Darkhotel
T1116,Winnti Group
T1116,Honeybee
T1116,Suckfly
T1116,Leviathan
T1116,FIN7
T1116,CopyKittens
T1116,APT37
T1116,Molerats
T1093,Patchwork
T1093,Gorgon Group
T1093,menuPass
T1172,APT29
T1013,APT38
T1192,Cobalt Group
T1192,APT29
T1192,Leviathan
T1192,Stolen Pencil
T1192,Night Dragon
T1192,FIN8
T1192,Elderwood
T1192,APT32
T1192,Dragonfly 2.0
T1192,APT39
T1192,Magic Hound
T1192,APT28
T1192,OilRig
T1192,FIN4
T1192,Turla
T1192,Patchwork
T1192,APT33
T1489,Lazarus Group
T1063,Cobalt Group
T1063,Darkhotel
T1063,MuddyWater
T1063,Naikon
T1063,FIN8
T1063,Patchwork
T1063,Tropic Trooper
T1080,Darkhotel
T1137,APT28
T1137,APT32
T1089,Putter Panda
T1089,Lazarus Group
T1089,Threat Group-3390
T1089,Night Dragon
T1089,Dragonfly 2.0
T1089,Gorgon Group
T1089,Carbanak
T1487,APT38
T1487,APT37
T1487,Lazarus Group
T1119,FIN6
T1119,Threat Group-3390
T1119,APT1
T1119,Patchwork
T1119,APT28
T1119,OilRig
T1119,FIN5
T1115,APT38
T1007,admin@338
T1007,APT1
T1007,OilRig
T1007,Ke3chang
T1007,Poseidon Group
T1007,Turla
T1040,Stolen Pencil
T1040,APT28
T1040,APT33
T1017,APT32
T1135,Sowbug
T1135,APT1
T1135,Dragonfly 2.0
T1120,APT28
T1120,Equation
T1120,Gamaredon Group
T1082,APT18
T1082,Sowbug
T1082,Honeybee
T1082,Lazarus Group
T1082,admin@338
T1082,Stealth Falcon
T1082,Darkhotel
T1082,MuddyWater
T1082,APT3
T1082,APT32
T1082,Magic Hound
T1082,APT37
T1082,Patchwork
T1082,OilRig
T1082,Turla
T1082,Ke3chang
T1082,APT19
T1082,Gamaredon Group
T1071,Stealth Falcon
T1071,APT18
T1071,Dark Caracal
T1071,Dragonfly 2.0
T1071,APT37
T1071,OilRig
T1071,Turla
T1071,Ke3chang
T1071,FIN4
T1071,Gamaredon Group
T1071,Cobalt Group
T1071,Orangeworm
T1071,BRONZE BUTLER
T1071,Threat Group-3390
T1071,FIN7
T1071,Night Dragon
T1071,Magic Hound
T1071,Rancor
T1071,APT19
